loss,accuracy,val_loss,val_accuracy
0.6597718000411987,0.6331683397293091,0.5539941191673279,0.7228000164031982
0.5564092397689819,0.7128143310546875,0.5323216915130615,0.7287999987602234
0.5134689211845398,0.748162567615509,0.4986453056335449,0.7581999897956848
0.4846973419189453,0.7650617361068726,0.4767618775367737,0.7734000086784363
0.47251060605049133,0.7719113826751709,0.4700201153755188,0.770799994468689
0.4485010504722595,0.7885105609893799,0.445665568113327,0.8027999997138977
0.435729056596756,0.7966101765632629,0.44540098309516907,0.7991999983787537
0.41704434156417847,0.8072096109390259,0.41434091329574585,0.8051999807357788
0.40699508786201477,0.8126093745231628,0.4362785518169403,0.7932000160217285
0.39379170536994934,0.8223589062690735,0.40762007236480713,0.8136000037193298
0.38592734932899475,0.8238087892532349,0.43163344264030457,0.7936000227928162
0.3758125901222229,0.8304084539413452,0.399727463722229,0.8222000002861023
0.36384156346321106,0.8371581435203552,0.4103766977787018,0.8130000233650208
0.35227110981941223,0.8452577590942383,0.3952944576740265,0.8234000205993652
0.3444958031177521,0.8513574600219727,0.39947155117988586,0.8274000287055969
0.3371955454349518,0.8487075567245483,0.3722245395183563,0.8379999995231628
0.33211421966552734,0.8549572229385376,0.43082940578460693,0.7986000180244446
0.318798691034317,0.8614569306373596,0.37486720085144043,0.8379999995231628
0.3125897943973541,0.8640568256378174,0.37548840045928955,0.8371999859809875
0.3106198310852051,0.866206705570221,0.3915981650352478,0.8320000171661377
0.3033139407634735,0.869656503200531,0.3881331980228424,0.8270000219345093
